case_id,execution_id,jdk,independent_repetition,benchmark,score,score_error,unit,forks,warmup_iterations,warmup_time,measurement_iterations,measurement_time,threads,jmh_version,jdk_version,source_file,source_locator,label,status
PS003,PS003-JDK25-R1,25,1,sjOpsAdapted,5502.540978409839,1105.1745732595762,us/op,3,5,5 s,10,5 s,1,1.36,25.0.4,evidence/PS003/outputs/jdk25-run1.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.sjOpsAdapted; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
PS003,PS003-JDK25-R1,25,1,sjOpsConverted,6787.458921302092,930.6751861423693,us/op,3,5,5 s,10,5 s,1,1.36,25.0.4,evidence/PS003/outputs/jdk25-run1.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.sjOpsConverted; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
PS003,PS003-JDK25-R1,25,1,sjOpsConvertedAndAdapted,4869.511545798301,877.1295097818794,us/op,3,5,5 s,10,5 s,1,1.36,25.0.4,evidence/PS003/outputs/jdk25-run1.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.sjOpsConvertedAndAdapted; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
PS003,PS003-JDK25-R1,25,1,sjOpsWithCache,11.765536857563209,1.875339626997292,us/op,3,5,5 s,10,5 s,1,1.36,25.0.4,evidence/PS003/outputs/jdk25-run1.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.sjOpsWithCache; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
PS003,PS003-JDK25-R2,25,2,ijOps,28093.82376385749,3256.2903443233695,us/op,3,5,5 s,10,5 s,1,1.36,25.0.4,evidence/PS003/outputs/jdk25-run2.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.ijOps; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
PS003,PS003-JDK25-R2,25,2,noOps,0.05963315097591583,0.008081365631516351,us/op,3,5,5 s,10,5 s,1,1.36,25.0.4,evidence/PS003/outputs/jdk25-run2.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.noOps; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
PS003,PS003-JDK25-R2,25,2,noOpsAdapted,0.06131405821695926,0.0051387086252653695,us/op,3,5,5 s,10,5 s,1,1.36,25.0.4,evidence/PS003/outputs/jdk25-run2.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.noOpsAdapted; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
PS003,PS003-JDK25-R2,25,2,noOpsAdaptedAndConverted,0.06905594416451451,0.018974385882169327,us/op,3,5,5 s,10,5 s,1,1.36,25.0.4,evidence/PS003/outputs/jdk25-run2.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.noOpsAdaptedAndConverted; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
PS003,PS003-JDK25-R2,25,2,noOpsConverted,0.0728883424999203,0.009155592252619015,us/op,3,5,5 s,10,5 s,1,1.36,25.0.4,evidence/PS003/outputs/jdk25-run2.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.noOpsConverted; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
PS003,PS003-JDK25-R2,25,2,sjOps,422.6302737525987,181.87158388609055,us/op,3,5,5 s,10,5 s,1,1.36,25.0.4,evidence/PS003/outputs/jdk25-run2.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.sjOps; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
PS003,PS003-JDK25-R2,25,2,sjOpsAdapted,6708.258994172564,922.1959905592215,us/op,3,5,5 s,10,5 s,1,1.36,25.0.4,evidence/PS003/outputs/jdk25-run2.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.sjOpsAdapted; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
PS003,PS003-JDK25-R2,25,2,sjOpsConverted,8212.528518538255,2208.3927788519936,us/op,3,5,5 s,10,5 s,1,1.36,25.0.4,evidence/PS003/outputs/jdk25-run2.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.sjOpsConverted; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
PS003,PS003-JDK25-R2,25,2,sjOpsConvertedAndAdapted,9769.548440932609,1950.5281664163329,us/op,3,5,5 s,10,5 s,1,1.36,25.0.4,evidence/PS003/outputs/jdk25-run2.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.sjOpsConvertedAndAdapted; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
PS003,PS003-JDK25-R2,25,2,sjOpsWithCache,16.630488714031852,2.3713334856768515,us/op,3,5,5 s,10,5 s,1,1.36,25.0.4,evidence/PS003/outputs/jdk25-run2.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.sjOpsWithCache; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
PS003,PS003-JDK25-R3,25,3,ijOps,7063.080090302827,1287.379608937107,us/op,3,5,5 s,10,5 s,1,1.36,25.0.4,evidence/PS003/outputs/jdk25-run3.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.ijOps; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
PS003,PS003-JDK25-R3,25,3,noOps,0.029425921868388008,0.002785578793003258,us/op,3,5,5 s,10,5 s,1,1.36,25.0.4,evidence/PS003/outputs/jdk25-run3.json,benchmark=org.scijava.ops.benchmarks.Benchmarks.noOps; primaryMetric,OUR-OBSERVED,READY-FOR-REVIEW
